Gender;År;Månad;Månad_Nummer;Säsong;Antal_Döda
Båda könen;1997;Januari;1;Vinter;104.0
Båda könen;1997;Februari;2;Vinter;99.0
Båda könen;1997;Mars;3;Vår;113.0
Båda könen;1997;April;4;Vår;93.0
Båda könen;1997;Maj;5;Vår;101.0
Båda könen;1997;Juni;6;Sommar;107.0
Båda könen;1997;Juli;7;Sommar;96.0
Båda könen;1997;Augusti;8;Sommar;114.0
Båda könen;1997;September;9;Höst;78.0
Båda könen;1997;Oktober;10;Höst;89.0
Båda könen;1997;November;11;Höst;87.0
Båda könen;1997;December;12;Vinter;79.0
Båda könen;1998;Januari;1;Vinter;108.0
Båda könen;1998;Februari;2;Vinter;69.0
Båda könen;1998;Mars;3;Vår;105.0
Båda könen;1998;April;4;Vår;97.0
Båda könen;1998;Maj;5;Vår;132.0
Båda könen;1998;Juni;6;Sommar;94.0
Båda könen;1998;Juli;7;Sommar;111.0
Båda könen;1998;Augusti;8;Sommar;110.0
Båda könen;1998;September;9;Höst;94.0
Båda könen;1998;Oktober;10;Höst;104.0
Båda könen;1998;November;11;Höst;90.0
Båda könen;1998;December;12;Vinter;89.0
Båda könen;1999;Januari;1;Vinter;84.0
Båda könen;1999;Februari;2;Vinter;78.0
Båda könen;1999;Mars;3;Vår;80.0
Båda könen;1999;April;4;Vår;94.0
Båda könen;1999;Maj;5;Vår;97.0
Båda könen;1999;Juni;6;Sommar;119.0
Båda könen;1999;Juli;7;Sommar;100.0
Båda könen;1999;Augusti;8;Sommar;118.0
Båda könen;1999;September;9;Höst;96.0
Båda könen;1999;Oktober;10;Höst;107.0
Båda könen;1999;November;11;Höst;99.0
Båda könen;1999;December;12;Vinter;105.0
Båda könen;2000;Januari;1;Vinter;83.0
Båda könen;2000;Februari;2;Vinter;91.0
Båda könen;2000;Mars;3;Vår;100.0
Båda könen;2000;April;4;Vår;77.0
Båda könen;2000;Maj;5;Vår;104.0
Båda könen;2000;Juni;6;Sommar;89.0
Båda könen;2000;Juli;7;Sommar;86.0
Båda könen;2000;Augusti;8;Sommar;107.0
Båda könen;2000;September;9;Höst;73.0
Båda könen;2000;Oktober;10;Höst;95.0
Båda könen;2000;November;11;Höst;105.0
Båda könen;2000;December;12;Vinter;86.0
Båda könen;2001;Januari;1;Vinter;102.0
Båda könen;2001;Februari;2;Vinter;77.0
Båda könen;2001;Mars;3;Vår;95.0
Båda könen;2001;April;4;Vår;103.0
Båda könen;2001;Maj;5;Vår;116.0
Båda könen;2001;Juni;6;Sommar;89.0
Båda könen;2001;Juli;7;Sommar;99.0
Båda könen;2001;Augusti;8;Sommar;107.0
Båda könen;2001;September;9;Höst;92.0
Båda könen;2001;Oktober;10;Höst;104.0
Båda könen;2001;November;11;Höst;81.0
Båda könen;2001;December;12;Vinter;93.0
Båda könen;2002;Januari;1;Vinter;93.0
Båda könen;2002;Februari;2;Vinter;74.0
Båda könen;2002;Mars;3;Vår;101.0
Båda könen;2002;April;4;Vår;114.0
Båda könen;2002;Maj;5;Vår;108.0
Båda könen;2002;Juni;6;Sommar;89.0
Båda könen;2002;Juli;7;Sommar;105.0
Båda könen;2002;Augusti;8;Sommar;113.0
Båda könen;2002;September;9;Höst;86.0
Båda könen;2002;Oktober;10;Höst;79.0
Båda könen;2002;November;11;Höst;87.0
Båda könen;2002;December;12;Vinter;95.0
Båda könen;2003;Januari;1;Vinter;80.0
Båda könen;2003;Februari;2;Vinter;78.0
Båda könen;2003;Mars;3;Vår;79.0
Båda könen;2003;April;4;Vår;93.0
Båda könen;2003;Maj;5;Vår;116.0
Båda könen;2003;Juni;6;Sommar;94.0
Båda könen;2003;Juli;7;Sommar;101.0
Båda könen;2003;Augusti;8;Sommar;82.0
Båda könen;2003;September;9;Höst;85.0
Båda könen;2003;Oktober;10;Höst;85.0
Båda könen;2003;November;11;Höst;91.0
Båda könen;2003;December;12;Vinter;84.0
Båda könen;2004;Januari;1;Vinter;95.0
Båda könen;2004;Februari;2;Vinter;91.0
Båda könen;2004;Mars;3;Vår;99.0
Båda könen;2004;April;4;Vår;91.0
Båda könen;2004;Maj;5;Vår;90.0
Båda könen;2004;Juni;6;Sommar;89.0
Båda könen;2004;Juli;7;Sommar;96.0
Båda könen;2004;Augusti;8;Sommar;109.0
Båda könen;2004;September;9;Höst;97.0
Båda könen;2004;Oktober;10;Höst;77.0
Båda könen;2004;November;11;Höst;85.0
Båda könen;2004;December;12;Vinter;100.0
Båda könen;2005;Januari;1;Vinter;94.0
Båda könen;2005;Februari;2;Vinter;95.0
Båda könen;2005;Mars;3;Vår;120.0
Båda könen;2005;April;4;Vår;108.0
Båda könen;2005;Maj;5;Vår;92.0
Båda könen;2005;Juni;6;Sommar;106.0
Båda könen;2005;Juli;7;Sommar;102.0
Båda könen;2005;Augusti;8;Sommar;97.0
Båda könen;2005;September;9;Höst;101.0
Båda könen;2005;Oktober;10;Höst;101.0
Båda könen;2005;November;11;Höst;92.0
Båda könen;2005;December;12;Vinter;95.0
Båda könen;2006;Januari;1;Vinter;90.0
